18	7	[#6,#1]C([#6,#1])(O[#6])(O[#6])	COC(C)(OC)C	CC1(C)OCCO1
11703	8	[#6][cH0](:[#6]):[cH0](:n:[#6])Cl	ClC1=NC=CC=C1C	ClC=1NC(=C)C(=C)C1C	OC1=CC=2N=C(Cl)N=C(Cl)C2C=C1O
11704	9	[OX2][cH0]1[cX3]([cX3]([cX3]([cH0]([cX3]1)[OH1])))	CC1=CC=C(O)C=C1O	C=C1C(=C)C=2CCOC2C(=C1O)C	COC1=C(C)C(O)=C(Cl)C(O)=C1Cl
11705	15	[CX4]([CH3])[CH1]1[CX4]([CX4]([CH0]([CX4])([CX4]([CX4]1))[CH3]))	SC1CC2CC3CC1(C)C2CC3C(C)C	CC(C)(C)C1CCC(C)(C(O)C2=COC=C2)C(C)C31OC3	CC1CCC2C(C)C(CC(O)C12C)C(C)(C)C
11706	11	[CX4][CH2][CH2][CH0]([CX4][CH2][CX4])([CH3])[OH1]	CCCCC(O)(C)CCCC	OC1CC2(OCC(C)C2)C(O)(C)CC1	CC(O)CCC(O)(C)C1CCCC1
11707	10	[CX4]([CX4][CH2][CH2][CH2][CX4])[NH1][CX3](=[OH0])	CC(=O)NCCCCCCN	CCCCCC(S)C1CNC(=O)N1	O=C(O)NC1CCCCC1
11708	10	[#6]N([cH0]1:[cH1]:[cH1]:[cH1]:[cH1]:[cH0]1[#6])[#6]	CN1CCC=2C=CC=CC21	CN(C)C=1C=CC=CC1C
11709	14	[#6]N1[#6][#6]N([CH2][CH2]1)[CH2][cH0](:[#6]):[#6]	CN1CCN(CC=2C=CC=CC2)CC1	C=C1C(=C)OC(=O)C=C1CN2CCN(C3=NC=CC=C3)CC2	CN1CCN(CC2=CC(=O)OC(C)=C2C)CC1
11710	12	[cX3](a)[cH1][cH1][cX3](a)[NH1][CX3][CX4]([CH3])	O=C(NC1=CC=C(S)C=C1)CC	O=C1NC=2C=CC=CC2OC1(C)C	O=C(NC=1C=CC=2OC(=NC2C1)C=3C=CN=CC3)C(O)C
11711	7	[CX4][CH1]1[CX4][OH0][CH2][CX4]1	NCC1COCC1	CC(O)C1C(C)(C)COC1(C)C	CC1OCC(C)C1CO
11712	8	[CX4][CX4]([CX4][CH3])[CX3][NX3]	CNC(=O)C(C)CC	CN1CCC2(C1=NC=3C=CC=CC32)C(C)(C)C	O=C1NCC(O)(C)C1CC
11713	10	[#6][CH0]1[CH1]([#6][#6][CH1]([#8])[CH1]1)[#6]	CC1CCC2OC2C31OC3	CC1C(O)C(O)C(O)(C(C)C1C)C	OC1CCC2CCC1C2(C)C
11714	7	N[cH0]1:[cH1]:[cH1]:[cX3](:[cH1]:[cX3]1)	NC=1C=CC=CC1	N=1N=C2SC(=NN2C1)C=3C=CC(N)=CC3	NC1=CC=C(O)C=C1S
11715	15	[CX4][CH2][CX4][cX3]([cH1][cX3](a)[cX3](a)a)a	CC=1N=C(SC1)C=2C=CN=C(C2)CCC	CC1=CC=2C=C3C(NCCC3)=C(C)C2OC1=O	CC=1NC=2C=C(O)C(=CC2C1C)C(C)(O)CC(C)C
11716	9	[CX3][CH1]1[CX4][CX4][CH2][CX4]([CX4]1)	O=C(N)C1CCCCC1	CC1(C)C2NC3OC(O)(C2)CC1C3=C	C=CC1CC2CC(C2)C1C
11717	5	[CX4]([CH2][SX2])[CX4]	PSCCC	NC1CSCC1N	CC1(N=CSC1)C
11718	11	[nX3](a)[cX3](a)[cH1][cX3](a)[ClH0]	ClC1=CC=2NN=CC2C=C1Br	CC1=CC=2SC(Cl)=CC2N1C	O=C1C(=C)C(=C)N=C(C)N1C2=CC=C(Cl)C(Cl)=C2
11719	9	[CX4][CH2][CH2][CX4]([CX4][CH1]=[CH1][CX3])	C=CC=CCCCCC	O=C1C=CC(CN1)(C)C2CCC(C)(C)CC2	O=C(O)C=CC(C)C1CC(C)CC1
11720	9	[CH3][CX4][CX4]([CX4]([CX3]=[OH0])[OH1])	O=C(N)C(O)CC(C)C	O=C1C=CC(C)(C)CC1O	CC(C)(C(C)(C)C)C(C)(O)C(=O)O
11721	7	N[CH0]([CH2][#6])([#6])[CH2][#6]	CC(N)(CC)CC	CC1(N)CCCC1	NC(C=1C=CC=CC1)(CC)CC
11722	9	O[CH1]([CH1]([CH1]([#6])O)O[CH3])[#6]	OC1COC(C)C1OC	OC(C)C(OC)C(C)O
11723	9	[CX4][CX3][CH0](=[CX3])[CX3](=[OH0])	CC=C1C(=O)NN=C1C	N=C(C(C(=O)C)=C(O)C)CC	NC1CCC(O)=C(C(=O)N)C1=O
11724	8	[CX3][CX4]([CX4][CH2][CH0](=[OH0])[OH1])	O=C(O)CCCC=C	O=C(C)C(C)C(O)CC(=O)O	CC(O)(CC(=O)N)CC(=O)O
11725	14	[#8]=[CH0]([cH0](:[#6]):[cH1]:[cH1]:[#6])N[CH1]([#6])[CH0](=[#8])N	O=C1NC(C)C(=O)NC=2C=CC=CC12	NC1=C(O)C(=CC=C1C(=O)NC(C)C(=O)N)C	O=C(N)C(C=1C=CC=CC1)N2C(=O)C=3C=CC=CC3C2
11726	13	[cX3]([cX3](a)[OH0][CX4])[cX3]([cH1][cH1][cX3]a)a	CCOC=1C=CC=2C=CC=CC2C1	O=C1OC=2C(OC)=C(O)C(C)=C(O)C2C=C1	CC=1C=2C=CC=CC2N3C1OCCC3
11727	8	[CH3][CH0]([CH2][#6])([CH1]([#6])O)O	OC1(C)CCCC1O	OC(C)(CC)C(O)C	OC(C)C1(OCC1)C
11728	8	[#8]=[CH0]([CH2][CH2][#6])O[CH2][#6]	O=C(OCC)CCC
11729	8	[CX3](=[CH1][CX3])[CH2][CX4][CX3]	C=CC=CCCC=C	CC=1C=CCCC1C	O=C1OC(C=C)CC(O)=C1
11730	7	[CX4]([CH1]([CX3])[NH2])[OH1]	O=C(N)C(N)CO	O=C(O)C(N)C(O)C
11731	11	[cX3](a)(a)[cH0]([cH1][cX3](a))[cH1][cX3](a)	NC1=CC=CC=2C=CC=CC12	O=C1OC(=CC=2C=C(O)C(C)=C(O)C12)C	ClC=1N=C2C=C(Br)C=CC2=CC1C
11732	9	[CX4]([CH3])([CH2][OX2])[CX4]([CX3](=[OH0]))	O=C1OCC(C)(C)C1N	COCC(C)C(O)(C(O)=O)C	O=C(C)C1OCOCC1(O)C
11733	20	[CX3](a)(=[OH0])[NX3][CX4]([CH2][cX3](a)[cH0]1[cH1][cH1][cH1][cH1][cX3]1a)	O=C(NCCC1=CNC=2C=CC=CC21)C=3C=NC=CC3	CC1N2C(=O)C=3C=CC=CC3C2C=4NC=5C=CC=CC5C4C1	O=C(C=1SC=CC1)N2CC=3NC=4C=CC=CC4C3CC2
11734	12	[#6][CH2]N[CH1]([#6])[CH2][cH0](:[#6]):[cH1]:[cH1]:[#6]	CCNC(C)CC=1C=CC=CC1	OC1=CC=C2C(=C1)C3CC(NCC3)C2	CC1N(CC)CC2=C(O)C(O)=CC=C2C1
11735	6	O=S(N[#6])(=O)[CH3]	CNS(=O)(=O)C	O=S(=O)(NC1=NC=2C=CC=CC2S1)C	O=S(=O)(NC1=CC=CC2=CC=CN=C21)C
11736	9	[CX4]([CX4])[NH0]([CX4]([CX4][OH1]))[CX3]	S=C1NCCN1CCO	CC(=O)N1C(N)C(C)(C)C(O)C1(C)S	O=C1CCC2(O)C=3C=CC=CC3N4CC(N1C42)C(C)C
11737	12	[CX4][CX4]([CH2][cX3](a)[cX3](a))([CX3])	O=C1C=2C=CC=CC2CC1CC	O=C(O)C(C)(C)CC1=C(S)C(C)=C(C)N1C	CC(=C)C(CC1=NC=CC(C)=C1N)C(C)C
11738	9	[CX4]1[CX4]([CH2][CX4]([CH1]([CH1]1[OH1])[OX2]))	COC1CCCCC1O	CC1C(O)C2OCC1(O)CC2C	OC1C(O)C(O)C(N)CC1N
11739	5	O=[CH0]([CH2][#7])O	O=C(O)CN
11740	10	O[CH1]1[CH2][CH0]([CH1]([#6])[#6][#6]1)([#6])[CH3]	CC1(C)CC(O)CCC1C	CC1(C)CC2OC2CC1C
11741	8	[CH3][cH0](:[#6]):[cH1]:[cH0](:[#6])[#8]	OC1=CC=CC(=C1)C	CC1=C(O)C(Cl)=C(O)C=C1C	OC=1C=C(N)C(=CC1O)C
11742	12	[CX4]1[CH2][CX4]([CX4][CH0]([CX4])([CX4]1[OX2])[CH3])	CCC1(C)C(C)C(C)CCC1O	COC1CCC(C)(C)C(C)C1(C)C(C)C	OC12OCC3CCC2(C)CCCC31C
11743	11	[#6][CH1]=[CH0]([cH0](:[#6]):[cH0](:[#6])[#6])[#6]	CC(=CC)C=1C=CC=CC1C	CC=1C(O)=C(C)C=2CCC=C(C2C1O)C	CC=C1C=CC=2C=C(F)C=CC12
11744	9	[#6]1:[cH0]([#6]):[cH1]:[cH1]:[cH0](:[#6]1)S[#6]	CC1=CC=C(SC)C=C1	OC=1C=C(SC)C=CC1C2=NC3=NC=CC=C3N2	N=1C(=CN2C=CC=CC12)C=3C=CC(SC)=CC3
11745	9	[CX4][CH0]([CX4][CX4])([CX4][OH1])[CH3]	OC1(C)CCCC1(C)C	CC(CC)C(C)(CO)C(O)C	CC1CC=CC(C)C1(C)C(O)C
11746	9	[cX3]1[cH1][cH0]([cX3]([cH0]([cH1]1)[OX2]))[OX2]	CC=1C=C(O)C=C(O)C1	ClC=1C=C(OC)C=C(OC)C1	CC=1C=C(OC)C=2OCOC2C1
11747	10	[cH1]1:n:[cH0]2:[cH0](:n:[cH1]:n:[cX3]2):n1	SC1=NC=NC=2N=CNC12	CN1C=NC2=C(N=CN2C)C1=N
11748	10	[CH3][CH2]O[cH0]1:[#6](:[#6](:[cH0]([#6]):[cH1]:[cH1]1))	CC1=CC=C(OCC)C=C1	BrC1=C(OCC)C=CC=2C=CC=CC21	N1=C2C=CC=CC2=NN1C3=CC(C)=CC=C3OCC
11749	9	[CX3][CH0](=[OH0])[CX4][CX4]([CX4])[CH3]	O=C1C=CCC(C)(C)C1	C=CC(=O)C(O)C(O)(C)CO	C=C1CNC(C1=O)C(C)CC
11750	11	[CX3][CH1]([CX4][OX2]a)[OH1]	C=CC(O)COC1=CSC=C1	CC1OC2=CC(O)=C(C)C(O)=C2C(=O)C1O	C=CC(O)C1(C)CC2=C(O)C=C(C=C2O1)C
11751	13	O=[CH0]([CH1]([CH2][#6])N[CH0]([CH1]([#7])[CH2][#6])=O)[#7]	O=C(N)C(NC(=O)C(N)CC)CC	O=C(N)C(NC(=O)C(N)CC1=CNC=2C=CC=CC21)CC3=CNC=4C=CC=CC43	O=C(N)C(NC(=O)C(N)CC)CC1=CN=CN1
11752	6	[#6][cH0]1:n:[cX3]:n(:[cH1]1)	CC1=CN=CN1	N1=C2SC=CN2C=C1C=3SC=CC3	CC1=CN(C)C(=N)N1C
11753	8	[CX4]1[CH2][CH2][CH2][CH2][CX4]1([CX4])	CCC1CCCCC1	NCC1(C=2C=CC=CC2)CCCCC1	CC(C)C1(O)CCCCC1
11754	12	[cX3]1[cX3][cX3][cH0]([cH1][cH1]1)[OH0][CH2][CX4]([CX4])	NC=1C=CC=CC1OCCCC	NC1COC2=CC=C(O)C=C2C1O	CC(COC1=CC=C(C)C(O)=C1)C(O)(C)C
11755	11	[CH3][CH2]O[CH0](=O)[cH0](:[#6]):[#6]	O=C(OCC)C=1C=NNC1S	O=C(OCC)C=1C(=C)C(=C)N(C1C)C	O=C(OCC)C1=C(SC=C1C=2C=CC=CC2)N
11756	9	[CX4]([CX4]([CH1]([CX4]([CX4][CH3]))[CH3]))([CH3])	CC(C)CC(C)CCC	OC1(CCC(C)CC(C)C1)C	CC(C)C(O)C(C)C(O)C(O)(C)C
11757	13	[CH3]O[cH0]1:[cH1]:[cH0]2:[cH0](:n:[cH0](:[cX3]2)[#6]):[cH1]:[cH1]1	CC=1NC=2C=CC(OC)=CC2C1C	CC1=CC=2C=C(OC)C=CC2N1C	CN1C=2C=CC(OC)=CC2C(C)=C1C
11758	12	[#6][CH2][CH2][CH0](=[#8])N[cH0](:[#6]):[cH1]:[#6]	O=C(NC=1C=CC=CC1)CCC	O=C1N(CCC1)C=2C=C(Cl)C=C(Cl)C2	NC1=CC=C2NC(=O)CCCC2=C1
11759	11	[cH1]1[cH1][cH1][cH0]([cX3]([cH1]1)a)[nH0][cX3]a	NC=1C=CN=C2C=CC=CC12	N1=C2C=CC=CC2=C3C(C)=CN(C)C(C)=C13	O=C1C(C)=C(O)C=2C=CC=CC2N1C=3C=CC=CC3
11760	10	O=[CH0]([CH1](N[#6])[#6])N[CH1]([#6])[#6]	CC(NC(=O)C(C)NC)C	O=C1NC(CN(C)C1C)C	CNC1CN(C1=O)C(C)C
11761	10	[CH3][CH0]1([CH0]([#6][#6]([CH1]1[#6]))([#6])[CH3])[#6]	CC1CCC(C)(C)C1(C)C	C1CC2(CCC1C2(C)C)C
11762	9	[CX4][CX4][CX3](=[CH1][CH0](=[OH0])[NX3])	O=C(C=CCCC)NC	CN1CC(C=CC1=O)C(C)C	O=C(N)C=C(O)C(C)C
11763	10	[CX4]([CX4][OH0][CH0](=[OH0])[CH0](=[CX3])[CH3])[OH1]	O=C(OCC(O)C)C(=C)C	O=C1OC(CC(=C1C)C)C(C)(O)C	O=C(OC(C)C(C)(C)O)C(=CC)C
11764	18	[CH3][CH1]1[CH1]([CH1]([CH1]([CH1]([OH0]1)[OH0][CX4][CX4][OH0][CX4])[OH1])[OH1])[OH1]	OC1OCCCC1OC2OC(C)C(O)C(O)C2O	OC(OC(C)(C)C)C(C)OC1OC(C)C(O)C(O)C1O	OC(C)OC(C)COC1OC(C)C(O)C(O)C1O
11765	11	[CH3]N([CH1]([#6])[cH0](:[#6]):[#6])[#6]	CC(C=1C=CC=CC1)N(C)C	CC=1C(O)=C(O)C(C)=C2C1C(C)N(C)CC2	CC(C=1C(=O)OC(=C)C(=C)C1O)N(C)C
11766	6	O=[CH0](N([#6])O)[#6]	CN(O)C(=O)C	CN(O)C(=O)C	O=C(C)N(O)C
11767	11	[#8][CH1]([CH1]([#6])[#8])O[CH1]([CH2][CH2][#6])[#6]	CCCC(C)OC(O)C(C)O	OC(OC1CCCC1)C(C)O
11768	9	[cH1]1[cH0]([cH0]([cH1][cX3]([cX3]1))[NX3])[NH2]	CNC=1C=CC=CC1N	NC1=CC(=CC=C1N)CC2=CC=C(N)C(=C2)N(=O)O	FC=1C=C(N)C(N)=CC1Cl
11769	8	[CX4]([CX4]([CX4]([CX4]([CX4][OH0][CX4]))))	CCCCC1COC1	OC(C(C)C)C(C)C(C)OC	CC1CCC(OC(C)(C)C)(CC1(C)C)C
11770	8	[CX4]1([CX4][CH2][CX4]([CH2][CH1]1[OH1]))	NC1CCCCC1O	CC1(C)C(O)CC(O)CC1(O)C	CC1CCCC(O)C1
11771	20	O=[CH0]([CH2][CH2][CH2][CH2][CH2][CH2][CH2][#6])O[CH2][CH1]([CH2]OP(=O)(O)O)O	O=C(OCC(O)COP(=O)(O)O)CCCCCCCC
11772	9	O=[CH0]([cH0]1:[cH1]:[cH1]:[cH1]:[cH1]:[#6]1)[#6]	O=C(C)C=1C=CC=CC1	O=C1CNC=2C=CC=CC12	O=C1C=CC=2C=CC=CC12
11773	6	N[cH0](:[#7]):n:[#7]	NC=1N=NNN1	CN1N=C(N=C1N)C=2N=CC=CC2	CC1=NN=C(N)N=C1N
11774	15	[NX3][CH2][CH0](=[OH0])[NH1][CX4][CH0](=[OH0])[NH1][CX4]([CH2][CX4])	CNCC(=O)NCC(=O)NC(C)CCC	CC(NC(=O)C(C)NC(=O)CN)CC(C)C	CN(C)CC(=O)NC(C)C(=O)NCCCC
11775	4	[CH3][CX4][OX2]	COCC	CC1(CO1)C	OC(C)C
11776	13	[CX4][NH1][CX3][CH2][OH0][cX3](a)a	CCNC(=O)COC=1C=CC=CC1	CC=1C=C(Cl)C(OCC(=O)NC(C)C)=CC1O	CC1=C(O)C(C)=C(O)C=C1OCC(=O)NCC=2C=NC=CC2
11777	11	[cX3]1(a)[cH1][cX3]([cH0]([cH1][cH0]1[nX2]a)[ClH0])	ClC=1C=CC=2OC(=NC2C1)N	ClC=1C=CC=2C(=NNC2Br)C1	CC=1N=C2C=C(Cl)C(Cl)=CC2=NC1C
11778	9	[CH2]1[CH2][CX4]1a	N=1N=C(SC1N)C2CC2	CC1(C2=CC=C(Br)C=C2F)CC1	CC1=CN(C(=C)C(=C)C1=O)C2CC2
11779	8	[cX3](a)([nH0][cX3](a)[NH2])[CX4]	CCC=1N=C(SC1)N	N=1C(=NC2=C(C1N)CCC2)N	O=C1NC(=NC(=C1C)C)N
11780	11	[CH2]1[CH1]([#7])[#6][#6][cH0]2:[cH0]1:[cH1]:[cH1]:[#6](:[#6]2)	NC1CCC=2C=CC=CC2C1	OC=1C=C(C)C2=C(C1O)C3=CC(O)=CC=C3CC2N	NC1CCC2=C(O)C(O)=CC=C2C1
11781	12	[CH3][CH2][CH2][CH2][CH2][CH1]=[CH1][CH2][CH1]=[CH1][CH2][#6]	CCC=CCC=CCCCCC
11782	10	[CX4]([CX4]([CH1]([CX3])[OH0][CH0](=[OH0])[CH3]))	O=C(OC1C=CCCC1)C	O=C(OC(C=C)C(C)(C)CO)C	CC1(O)CCC(=C)C(OC(=O)C)C1
11783	11	[NX3][CX4][CH0](=[OH0])[NH1][CX4]([CH2][CH2][SH0][CH3])	CC(NC(=O)CN)CCSC	CN(C)C(C)C(=O)NC(C)CCSC	CNC(C)C(=O)NC(C)CCSC
11784	10	[CX4]([CH2][CX4])([CX3]=[CX3])[OH0][CX4]	CC1=C(C)COC1CCC	OC(C)CC(OC)C(=CC)C	CC1(N)CC=CC(OC)C1
11785	13	[CH3]O[cH0]1:[cH0](:[cH1]:[cH0]([CH2][CH2][#7]):[cH0](:[cH1]1)[#6])[#8]	OC=1C=C2C(CNCC2)=CC1OC	NCCC1=CC(O)=C(OC)C=C1C
11786	19	[CX4][CH2][CH1]1[CX4]([CH2][CH2][CH1]([CX4]1)[CX4]([CX3]=[CH1][CX3](=[OH0])))	O=C1C=CC(CN1)(C)C2CCC3(CCCC3C2C)C	CC1(C)OC2(C)CCC(C(C)(C=CC(=O)O)C)C(C)(C)C2C1	O=C1C=C2CCC3C(CCC4(C5OC5CC34)C)C2(C)CC1
11787	8	[CX4][CH2][CX4]([CH2][CX4]([CH2][CX4]))	CCCCCCCC	OC1CC2NC(C1)C(O)C2	NCCC1(O)CCCCC1
11788	10	[CX4]([CH2][cH0]([cH1][cX3](a))[cX3]a)[NX3]	CNCCC=1C=CC=CC1	OC=1C=C2CNCCC2=CC1O	CC(N)CC1=CC(Cl)=C(O)C(Cl)=C1
11789	12	[NX3]1[CH2][CH2][CH2][CH1]1[CH0](=[OH0])[NH1][CX4][CX4]	CCC1CN2CCCC2C(=O)N1	CC(NC(=O)C1NCCC1)C(C)C	CN1CCCC1C(=O)NC(C)CC2=CNC=3C=CC=CC32
11790	8	[NX3][CH2][CH2][CX4]([CX4])[OX2]	COC1CCNCC1	OC(C=1C=CC=CC1)(CCN(C)C)C(C)C	CC1(O)CCN(C)CC1(N)O
11791	13	[#8][CH2][CH1]([CH1]([cH0](:[#6]):[#6])[#8])[#6]	CC1COC2=CC(O)=CC=C2C1O	CC=1C=C(O)C(O)=CC1C(O)C(C)CO	OC=1C=C2CCC(CO)C(O)C2=CC1O
11792	8	[CX4][CH1]([CH2][CX4]([CX4][OH1]))[CX4]	NC(CO)CC(C)C	CC1(O)CC2(C=3NC=4C=CC=CC4C3CC2CC1)C	CC1C(O)C(C)CC1C(C)(C)C
11793	19	[#8][CH1]1[CH1]([CH1]([CH1]([#6])O[CH1]1O[CH1]([CH1]([CH2][#8])[#8])[CH1]([#6])[#8])[#8])O	OC1COCC(O)C1OC2OC(C)C(O)C(O)C2O	OCC(O)C(OC1OC(C)C(O)C(O)C1O)C(C)O	OCC1OCC(O)C1OC2OC(C)C(O)C(O)C2O
11794	11	[#6]O[cH0]1:[cH0]([#6]):[cH0](:[cH0](:[cH1]:[cH1]1)[#6])[#8]	CC1=CC=C2OCCC2=C1O	CC1=CC=C(OC)C(=C1O)C
11795	12	[CX4]([CX4][CX4])[cH0]1[cH1][cH0]([cX3]([cH1][cX3]1))[OX2]	OC1=CC=C(C=C1O)CCCC	BrC=1C=C2OCOC2=CC1CC(N)C	COC1=CC=C2CC(C)CCC2=C1
11796	18	O[CH1]1[CH1]([CH1]([CH1](O[CH1]([CH1]([#6])O)[#6])O[CH1]1[CH2]O)O)O[#6]	COC1C(O)C(OC(C)C(C)O)OC(CO)C1O	CC(O)C(C)OC1OC(CO)C(O)C2OCOC12
11797	8	O[cH0]1:[cX3]:[cH0](:[cX3](:[cH1]:[cH1]1))[#6]	CC1=CC=CC(O)=C1	OC=1C=CC=C2C=CC=NC12	OC1=CC=C(N)C(C)=C1F
11798	9	[CH2]([cH0](:[#6]):n:[#6])N[#6]	CNCC1=CC=CN1C	ClC=1N=C(Cl)C2=C(N1)CNC2	C1CNCC2=C1C=3C=CC=CC3N2C
11799	11	[#6]N([#6])[CH2][CH2][cH0](:[#6]):[#6]	CN1CC=2C=CC=CC2CC1	CN(C)CCC=1C(=C)C(=C)NC1C	OC=1C=C(C=2C=CC=3C=CC=CC3C2C1O)CCN(C)C
11800	11	[cX3]1[cX3]([cH0]([cX3]([cH1][cH0]1[OX2]))[CH0](=[OH0])[CX4])	O=C(C1=CC=C(O)C=C1)CC	O=C1C2=C(Cl)C(Cl)=C(OC)C=C2CC1(C)C	CC1COC=2C(=CC=C3OCCC32)C1=O
11801	11	[#8][CH1]1[CH1]2[CH1]([CH2][CH2][#6]([#6]2))[#6]([#6]([CH2]1))	OC1CCCC2CCCCC12	OC1=CC=C2C(=C1)CCC3CCCC(O)C23
11802	7	[#6][cH0]1:[cH1]:[cX3](:n:[cX3](:[cX3]1))	CC=1C=CN=CC1	CN1C=C(Br)C(=CC1=N)C	CC=1C(S)=NC(=CC1C=2OC=CC2)C
11803	11	[CX4][CH2][CH2][CH1]([CX4][CH3])[OH0][CX3]	CC(=O)OC1CCCCC1C	O=C1OC2CCC1(C)CC2(C)C	CC(C)(C)C(OC(=O)C)CCCC
11804	6	[CX4]([CH1]([CH2][OX2])[OH1])	OCC(O)CO	OC1CCOCC1O	NCC(O)COC1=CC=CC=2C=CC=CC12
11805	11	[cX3](a)[cX3]([cH0]1[cX3]([cH1][cX3]([cH1][cX3]1a)))	CC1=CC=CC=2C=CC=CC12	C=C1C=CC=C2C(=O)N3CCN=C3C(C)=C12	O=C1OC=2C=C(O)C=CC2C=C1
11806	8	[CX4]1([CH2][CH1]([CH2][CX4]([CX4]1))[CX4])	CCC1CCCCC1	CC1C2OC3(CC1(C)CC3C2)C	C12CC3CC1CC(C2)C3
11807	9	[#17][cH0]1:[cH1]:[cH0](:[cH0](:[cH1]:[cH1]1)[#6])[#7]	CC1=CC=C(Cl)C=C1N	ClC=1C=CC=2C(=NNC2Br)C1	ClC=1C=CC2=C(N)C=CN=C2C1
11808	14	[CX4]1[CX3][CX4]([CH2][CX4]([CX4]1([CX4][OH1])))	C=C1CCCC2(CO)CCC(CC12)C	O=C1CCC(O)(C)C(C(C)O)C1(C)C	FC1C(=C)C(C)(C)C(Cl)(C(C)C1)C(O)C
11809	8	[CH3]N([CH1]([#6])[#6])[CH1]([#6])[#6]	CC1CCC(C)N1C	CC(C=1C=CC=CC1)N(C)C(C)C=2C=CC=CC2	CC1N(C)C(C)C=2NC=3C=CC=CC3C2C1
11810	4	S[CH2][CH2][#7]	SCCN
11811	6	[cX3](a)[nX3]a	NC1=NC=NN1	CN1C(=C)C(=C)C(=C)C1=C	CC=1C(=O)NC(C)=C(C)C1O
11812	9	[CX4]1([CX4]([CX4]([CX4]([CH1]([CH1]1[OX2])[OH1]))))	COC1CCCCC1O	CC1C(O)C(O)C(C)(C)C(O)(C)C1C	OC1C(O)C(O)C(N)CC1N
11813	9	[cX3](a)([nH0][cH0]([nX2]a)[SX2])	CC1=NC(=NN=C1)SC	N=1C=2C=CC=CC2N3CCSC13	O=C1NC(=O)N(C=2N=C(SC)N(C)C12)C
11814	11	[CH3][CH0]1([CH2][#6]([CH2][CH0]([CH1]1[#6])([#6])[CH3]))[CH3]	CC1(C)CCCC(C)(C)C1C
11815	11	[CX4]([CX4]([cH0]1[cH0]([cH1][cX3]([cX3]([cH1]1)))[OH0][CH3]))	NCCC=1C=CC=CC1OC	OC=1C=C(OC)C(=CC1C)C(O)C2CO2	CC=1C=C(C(OC)=CC1N)C(C)(O)CC
11816	8	[CX4]1[CX4][CX4][CH1]([CX4])[CH2][NX3]1	CCC1CNCCC1	OC(C=1SC=CC1)(C=2SC=CC2)C3CN4CCC3CC4	SN1CC(C)CC(C)C1
11817	8	[#6][CH2][CH2][CH2]N[CH0](=[#8])[#6]	O=C(C)NCCCC	O=C(C)N1CCCC1
11818	12	O=[CH0]([cH0](:[#6]):[cH0]1:[cH1]:[cH1]:[cH1]:[#6]:[#6]1)[#6]	O=C(C)C1=CNC=2C=CC=CC21	O=C(C=1C=NC=CC1)C2=CN(C)C=3C=CC=CC23	CC(=O)C1=CC=C(O)C=2C=CC=CC12
11819	20	[cX3](a)([cX3](a)[cX3](a)[CH2][CX4][NH1][CX3](=[OH0])a)a	O=C(NCCC1=CNC=2C=CC=CC21)C=3C=NC=CC3	O=C1NCCC2=C(NC=3C=C(F)C=C1C32)C=4C=CC(C)=CC4	O=C1OC(=C)C(=C)C=C1C(=O)NCCC=2C=3C=C(F)C=CC3NC2C
11820	11	[CX4]1[CX4][CH2][CX4]([CX3][CX4]1[CH3])([CH3])	C=C1C(C)(C)CCCC1(C)C	FC1(C)C(C)CC(C(=C)C1(C)C)C	C=C1C(O)(C)CC(C)C(C)C1(C)C
11821	31	O[CH1]1[CH1]([CH1]([CH1](O[CH0]([CH0]23[CH2][CH2][CH0]4([CH0](=[CH1][CH2][#6]([#6]4))[CH1]2[CH2][CH0]([CH2][CH2]3)([CH3])[CH3])[CH3])=O)O[CH1]1[CH2]O)O)O	O=C(OC1OC(CO)C(O)C(O)C1O)C23CCC4(CCCC=C4C3CC(C)(C)CC2)C
11822	11	[cH1]1:[cH1]:[cH1]:[cX3]:[cH0]2:[cH0]1:[cH1]:[cH1]:[cH1]:[cH0]2[#6]	CC1=CC=CC=2C=CC=CC12	C1NC2=CC=CC=3C=CC=C1C23	C1=NC2=CC=CC=3C=CC=C1C23
11823	7	[CH3][CH2][CH2][CH2][CH2][CH2][#6]	CCCCCCC
11824	9	[CX4][CX4][CX3][CX3](=[CX3]([CX3]))	O=C(C=CC=C)CCC	O=C1CC=C2C(NC(S)C2)=C1	C=C1C=C(OC(O)C1(C)O)C=C
11825	9	[CH3]O[cH0]1:[cH1]:[cH1]:[cH1]:[#6](:[#6]1)	CC=1C=CC=CC1OC	C=C1C=CC=C(OC)C1=C	OC1=CC=CC(OC)=C1
11826	8	O=[CH0]([CH0]([#6])([#6])O)[CH2]O	CC(O)(C)C(=O)CO	CC1(OC1)C(=O)CO
11827	7	[CH3][CH1]([CH3])[CX4]([CX4])([CX4])	CCC(C)C(C)C	OC1(OCCC1C(C)C)C	CC(O)C1(OC1C)C(C)C
11828	9	[#6][CH0]([#6])([CH2][#6])[CH0](=O)O[CH3]	O=C(OC)C(C)(C)CC
11829	12	[CX4][CH2][CH1]([CH0](=[OH0])[OH1])[NH1][CH0](=[OH0])[CX4][NH2]	O=C(O)C(NC(=O)CN)CCC	O=C(O)C(NC(=O)C(C)N)CC(C)C
11830	11	[CX3](=[CX3]([CX4][cH0]1[cH1][cX3]([cH0]([cX3]([cH1]1))[OH1])))	CC1=CC(=CC=C1O)CC=C	CC(=C(O)N)C(C)C1=CC=C(O)C=C1	OC1=CC=C(C=C1)C2OCC(=C2C)C
